"date","quarry","docket","jobNo","delivery","rego","product","weight","startTime","endTime","startKm","endKm"
"17-Mar","KB","4204122","9467","E","LCK375","DRAINAGE 20/7","28.38","07:00:00 AM","10:30:00 AM","no data","no data"
"17-Mar","KB","4204254","9467","E","LCK375","GAP 7","28.40","10:30:00 AM","01:45:00 PM","no data","no data"
"17-Mar","KB","4204399","9467","E","LCK375","GAP 7","28.20","01:45:00 PM","MANUAL ENTRY","no data","no data"
"17-Mar","KB","4204127","9494","E","YB5925","GAP 65","10.36","07:15:00 AM","08:30:00 AM","no data","no data"
"17-Mar","KB","4204156","9494","E","YB5925","GAP 65","10.10","08:15:00 AM","09:00:00 AM","no data","no data"
"17-Mar","KB","4204190","9494","E","YB5925","GAP 65","9.52","09:00:00 AM","09:30:00 AM","no data","no data"
"17-Mar","KB","4204212","9494","E","YB5925","GAP 65","9.40","09:30:00 AM","10:45:00 AM","no data","no data"
"17-Mar","KB","4204277","9494","E","YB5925","GAP 65","10.40","10:45:00 AM","12:30:00 PM","no data","no data"
"17-Mar","KB","4204341","9494","E","YB5925","GAP 65","10.34","12:15:00 PM","01:00:00 PM","no data","no data"
"17-Mar","KB","4204370","9494","E","YB5925","GAP 65","10.10","01:15:00 PM","MANUAL ENTRY","no data","no data"
